Technology	Scenario	Variable	Index	Value	Units	Notes
HEFA Camelina	State of Technology	Input	Feedstock	258858	dry ton oil/year	camelina; basis is dry oil content of feedstock; 788 dry ton oil/day and 7884 operating hours/year
HEFA Camelina	State of Technology	Input	Raw Material	46737	kg/year	value to produce $46,737,000 per year (Fig 6)
HEFA Camelina	State of Technology	Input efficiency	Feedstock	1	unitless	
HEFA Camelina	State of Technology	Input efficiency	Raw Material	1	unitless	
HEFA Camelina	State of Technology	Input price	Feedstock	1587.59	USD/dry ton oil	camelina; basis is oil content of bone-dry feedstock; $1.75/kg (assume bone dry)
HEFA Camelina	State of Technology	Input price	Raw Material	1000	USD/kg	dummy value to produce $46,737,000 per year (Fig 6)
HEFA Camelina	State of Technology	Lifetime	Capital	30	year	Table 2 of Tao et al. (2017)
HEFA Camelina	State of Technology	Output efficiency	DDGS	1	unitless	
HEFA Camelina	State of Technology	Output efficiency	Diesel	1	unitless	4.7 gal/dry ton oil
HEFA Camelina	State of Technology	Output efficiency	Electricity	1	unitless	
HEFA Camelina	State of Technology	Output efficiency	Gasoline	1	unitless	100 gal/dry ton oil
HEFA Camelina	State of Technology	Output efficiency	Jet	1	unitless	184.3 gal/dry ton oil
HEFA Camelina	State of Technology	Output efficiency	Propane	1	unitless	1 gal/dry ton oil
HEFA Camelina	State of Technology	Output price	DDGS	0.22	USD/kg	
HEFA Camelina	State of Technology	Output price	Diesel	3.25	USD/gal	biodiesel, between $2.9 - $3.6/gal
HEFA Camelina	State of Technology	Output price	Electricity	0.057	USD/kWh	
HEFA Camelina	State of Technology	Output price	Gasoline	2	USD/gal	naphtha product sold as gasoline surrogate
HEFA Camelina	State of Technology	Output price	Jet	1	USD/gal	dummy value only used in default cost calculation; this is not MJSP
HEFA Camelina	State of Technology	Output price	Propane	0.6	USD/gal	2015 price: $0.4 - $0.8 / gal
HEFA Camelina	State of Technology	Scale	Capital	1	unitless	
HEFA Castor	State of Technology	Input	Feedstock	258858	dry ton oil/year	
HEFA Castor	State of Technology	Input	Raw Material	35052	kg/year	value to get $35,052,000/yr (Fig 6)
HEFA Castor	State of Technology	Input efficiency	Feedstock	1	unitless	
HEFA Castor	State of Technology	Input efficiency	Raw Material	1	unitless	
HEFA Castor	State of Technology	Input price	Feedstock	1542.23	USD/dry ton oil	$1.70/kg converted
HEFA Castor	State of Technology	Input price	Raw Material	1000	USD/kg	dummy value
HEFA Castor	State of Technology	Lifetime	Capital	30	year	
